Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659310388;MONOMIR;Одежда;Пуховик;Да;1764980;1391;151;9129;11689;0;100;62709;5;FBO;5;35;20.6;29.4;51635;6575;0.04;12;0;50.3;2024-08-15
Куртка CASTE;https://www.ozon.ru/product/1626445073;CASTE;Одежда;Куртка;Да;1759911;456;305;5264;5770;0;100;62092;11;FBO;4;33;25.2;34.7;127690;11310;0.03;8.32;2.5;57.2;2024-07-11
Куртка CASTE;https://www.ozon.ru/product/1626444461;CASTE;Одежда;Куртка;Да;1750747;362;306;4570.5;5721;63445;96;63445;11;FBO;3;33;25.2;34.7;190092;12350;0.02;7.39;0;56.3;2024-07-11
Костюм классический D K N V Кашемир;https://www.ozon.ru/product/1660751864;D K N V;Одежда;Костюм классический;Да;1750668;320;315;352;5558;63419;96;63419;11;FBO;3;3.6;21;29.7;319233;28955;0.03;4.73;7.4;40;2024-08-16
Куртка;https://www.ozon.ru/product/1250542303;без бренда;Одежда;Куртка;Да;1748490;248;503;2899.6;3476;63716;96;63716;18;FBO;4;24.1;26.9;37.1;491414;25730;0.01;6.8;0;46;2023-10-19
Парка adidas Sportswear Ho Fur Parka;https://www.ozon.ru/product/1067072122;adidas Sportswear;Одежда;Парка;Да;1740341;201;133;11115;13085;0;100;60473;5;FBO;5;32.5;20.8;29.6;86142;5697;0.03;7.61;0;Нет данных;Нет данных
Куртка Jan Steen;https://www.ozon.ru/product/1172042529;Jan Steen;Одежда;Куртка;Да;1737303;209;211;6218;8234;690929;71;86366;10;FBO;5;10.4;20.8;29.5;105586;6582;0.02;8.53;0;52.7;2023-09-05
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132865597;TWOGOAT;Одежда;Костюм спортивный;Да;1736154;116;445;2778;3901;0;100;60594;16;FBO;4;15.5;24.1;33.6;83845;11042;0.03;9.16;0;65.7;2023-08-13
Джинсы Fart Favorita;https://www.ozon.ru/product/1551613305;Fart Favorita;Одежда;Джинсы;Да;1728837;53;1133;1082.3;1526;0;100;60223;39;FBO;4;3.1;24.9;35.6;96458;19061;0.06;14.22;0;35.7;2024-04-19
Куртка;https://www.ozon.ru/product/1250536745;без бренда;Одежда;Куртка;Да;1724963;232;504;2559;3423;0;100;60746;18;FBO;4;11.6;23.9;33.4;427319;24379;0.02;6.75;0.1;44.1;2023-10-19
Джинсы Fart Favorita;https://www.ozon.ru/product/1551613427;Fart Favorita;Одежда;Джинсы;Да;1719857;19;1112;1063.5;1547;0;100;58968;38;FBO;4;6.3;26.5;37.5;183060;20328;0.07;12.37;0;36.9;2024-04-19
Куртка GAZZE;https://www.ozon.ru/product/1613562941;GAZZE;Одежда;Куртка;Да;1697244;367;295;4444.5;5753;0;100;59653;10;FBO;4;24;23.8;33;141765;13099;0.01;5.61;4.7;51.7;2024-06-25
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1409644152;Fart Favorita;Одежда;Брюки утепленные;Да;1696436;538;941;354.2;1803;0;100;60208;33;FBO;3;2.7;23.2;33.2;74408;14515;0.06;18.58;0;47.4;2024-01-30
Костюм спортивный ULook СпортШик;https://www.ozon.ru/product/1217087379;ULook;Одежда;Костюм спортивный;Да;1695184;196;628;31.1;2699;0;100;58469;22;FBO;3;9.4;24.1;33.8;753521;50632;0.02;4.33;6.7;56;2023-09-30
Куртка LOOK OF YOUNG;https://www.ozon.ru/product/1194754511;LOOK OF YOUNG;Одежда;Куртка;Да;1695102;760;773;1281.8;2193;275499;86;68875;31;FBO;5;21.1;30;41.2;563787;53359;0.03;4.94;0;52.8;2023-09-17
Футболка;https://www.ozon.ru/product/1615011651;без бренда;Одежда;Футболка;Нет;1692008;3;1143;1362;1480;61449;96;61449;42;FBS;0;2;24.2;34.9;1127;1116;6.38;84.22;0;8.7;2024-06-27
Комбинезон-трансформер Ramelka;https://www.ozon.ru/product/723842895;Ramelka;Одежда;Комбинезон-трансформер;Да;1686967;408;247;5328;6830;447057;79;74509;11;FBO;5;30.3;24.1;33.3;88659;7353;0.03;9.72;0;67.3;2022-09-23
Куртка CASTE;https://www.ozon.ru/product/1626445653;CASTE;Одежда;Куртка;Да;1677923;375;292;4512;5746;0;100;59243;10;FBO;4;33;25.2;34.7;106122;10706;0.03;8.46;0.5;57.1;2024-07-11
Свитер Bananapolis;https://www.ozon.ru/product/1653437783;Bananapolis;Одежда;Свитер;Да;1676602;124;530;2207;3163;127482;93;63741;20;FBO;4;3.9;21.9;31;273209;30836;0.02;7.36;6.8;51;2024-08-09
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1646383015;by Arhangelskaya Alina;Одежда;Пальто;Да;1675842;92;129;9005.3;12991;0;100;57857;4;FBO;4;5.9;17.9;26.2;238238;53764;0.01;2.19;11.8;40.9;2024-08-02
Костюм спортивный 12Sportwear Из футера с начесом;https://www.ozon.ru/product/1467654632;12Sportwear;Одежда;Костюм спортивный;Да;1670886;53;432;2868.8;3868;0;100;57299;15;FBO;4;24.7;25.9;35.8;131575;8078;0.01;11.51;0.2;50.4;2024-03-12
Пальто Vera Nicco;https://www.ozon.ru/product/489180946;Vera Nicco;Одежда;Пальто;Да;1662930;237;124;9978;13411;61191;96;61191;5;FBO,FBS;5;39.2;19.8;28.5;44800;4330;0.02;9.16;0;41.3;2022-02-07
Свитер Upward Movement;https://www.ozon.ru/product/1677283858;Upward Movement;Одежда;Свитер;Да;1662371;387;994;1032;1672;0;100;58592;35;FBO;4;1;22.6;32.5;484129;38864;0.03;8.03;6.4;60.5;2024-08-31
Пальто LOVINI Осень;https://www.ozon.ru/product/1280892884;LOVINI;Одежда;Пальто;Да;1653064;456;313;3837.8;5281;0;100;58430;11;FBO;3;16.5;23;32.1;127140;26192;0.03;4.56;9.5;34.5;2023-11-08
Лонгслив ASSERTIVE;https://www.ozon.ru/product/1613792700;ASSERTIVE;Одежда;Лонгслив;Да;1651345;7;1018;1;1622;0;100;57216;35;FBO;4;2.3;23.6;33.7;589099;32801;0.03;9.16;1.3;56.7;2024-06-25
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1627388728;by Arhangelskaya Alina;Одежда;Пальто;Да;1650999;175;134;11078;12321;618977;71;77372;6;FBO;6;15.7;18.7;27.1;44950;3122;0.01;14.15;0;40.4;2024-07-12
Комплект одежды FORSMAN;https://www.ozon.ru/product/1140893001;FORSMAN;Одежда;Комплект одежды;Да;1645499;64;399;2107;4124;0;100;57217;14;FBO;4;6;21.9;31;222590;25560;0.05;6.25;2.3;44.4;2023-08-17
Куртка;https://www.ozon.ru/product/1414632066;без бренда;Одежда;Куртка;Да;1641400;188;414;2892;3965;59881;96;59881;15;FBO;4;18;24.4;33.9;243332;11675;0.01;8.32;0.3;40.9;2024-02-03
Брюки ZERTELLI Классические;https://www.ozon.ru/product/849026434;ZERTELLI;Одежда;Брюки;Да;1639370;3;820;965;1999;0;100;57102;29;FBO;3;2.3;23.2;33.1;217312;23521;0.03;8.77;4.3;37;2023-01-30
Костюм спортивный your dynamiX;https://www.ozon.ru/product/1578661902;your dynamiX;Одежда;Костюм спортивный;Да;1636272;72;361;3142.5;4533;0;100;57127;13;FBO;3;12.6;23;32.2;270955;37977;0.03;4.61;1.8;37.6;2024-05-19
Комбинезон-трансформер Ramelka;https://www.ozon.ru/product/733312307;Ramelka;Одежда;Комбинезон-трансформер;Да;1633119;1010;241;4754.3;6776;0;100;56505;8;FBO;4;30.3;24.1;33.3;107611;11436;0.04;6.51;0.1;58.8;2022-10-04
Легинсы;https://www.ozon.ru/product/1663169735;без бренда;Одежда;Легинсы;Да;1633049;401;1932;1;845;0;100;57667;68;FBO;4;1.7;27.1;39.5;211837;18961;0.16;24.77;2.4;79.4;2024-08-19
Куртка;https://www.ozon.ru/product/1250546764;без бренда;Одежда;Куртка;Да;1630435;321;466;2618.5;3499;0;100;57179;16;FBO;4;24.2;26.9;37.1;432878;23036;0.02;7.26;0;48.7;2023-10-19
Пуховик LIBERTA;https://www.ozon.ru/product/1650051202;LIBERTA;Одежда;Пуховик;Да;1630410;402;278;3804;5865;0;100;57428;10;FBO;5;39.1;26;35.7;216796;16643;0.03;6.04;12.7;53.9;2024-08-06
Куртка ПАЛЕТО;https://www.ozon.ru/product/1416607734;ПАЛЕТО;Одежда;Куртка;Да;1629162;220;394;2966.3;4135;0;100;56988;14;FBO;4;20;24.6;34.1;145791;9392;0.01;9.81;0;43.6;2024-02-06
Куртка ПАЛЕТО;https://www.ozon.ru/product/1416607590;ПАЛЕТО;Одежда;Куртка;Да;1629110;219;395;2992.5;4124;58543;96;58543;14;FBO;4;26.7;26;35.8;134165;9873;0.03;11.27;0;42.8;2024-02-06
Джемпер Nais;https://www.ozon.ru/product/952981899;Nais;Одежда;Джемпер;Да;1627504;181;749;250;2173;0;100;57678;26;FBO;4;6.8;24.2;34.1;474962;40405;0.02;6.54;22.7;68.6;2023-04-25
Пальто Zarina;https://www.ozon.ru/product/1658091861;Zarina;Одежда;Пальто;Да;1624715;157;297;4329.3;5470;641681;71;80210;15;FBO;4;20.5;23.2;32.2;100854;9940;0.03;6.55;0;41.6;2024-08-14
Джинсы WEARELSts;https://www.ozon.ru/product/1480233801;WEARELSts;Одежда;Джинсы;Да;1624422;283;1339;1;1213;0;100;57113;47;FBO;4;1.5;24.8;35.8;261689;33096;0.04;9.38;0.2;57.3;2024-03-18
Куртка ТВОЕ;https://www.ozon.ru/product/445665406;ТВОЕ;Одежда;Куртка;Да;1621879;389;439;2640;3694;0;100;57470;16;FBO;3;21.6;25.6;35.4;267998;10799;0.03;8.58;2.3;60.8;2021-12-27
Куртка LOOK OF YOUNG;https://www.ozon.ru/product/1194754561;LOOK OF YOUNG;Одежда;Куртка;Да;1620512;666;744;1281.8;2178;514795;75;73542;33;FBO;4;13.2;27.1;37.7;754068;71643;0.02;3.57;1.1;56.4;2023-09-17
Брюки утепленные;https://www.ozon.ru/product/1687065902;без бренда;Одежда;Брюки утепленные;Да;1616036;12654;1014;957.8;1594;59980;96;59980;37;FBO;5;4.7;24.8;35.3;150003;23574;0.06;12.97;1.2;57.4;2024-09-09
Куртка Zarina;https://www.ozon.ru/product/1674798379;Zarina;Одежда;Куртка;Да;1612185;605;264;4782;6107;436673;79;72779;12;FBO;4;35.4;24.6;33.9;201919;14128;0.01;4.86;0;51.7;2024-08-29
Комбинезон утепленный CROCKID Для мальчиков;https://www.ozon.ru/product/1160402502;CROCKID;Одежда;Комбинезон утепленный;Да;1608541;176;300;4023;5362;725888;68;80654;15;FBO,FBS;6;9.6;22;30.9;50137;7092;0.1;10.67;0;63.9;2023-08-29
Парка MurLeMur Базовая коллекция;https://www.ozon.ru/product/1660473086;MurLeMur;Одежда;Парка;Да;1605775;1129;225;244;7137;188497;89;62832;9;FBO;4;25;23.1;32.2;80690;8790;0.02;7.53;0.1;47.9;2024-08-16
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132944783;TWOGOAT;Одежда;Костюм спортивный;Да;1605286;71;404;3400.9;3973;258650;86;64663;16;FBO;4;13.9;23.6;33;141565;9479;0.01;8.97;0;58.3;2023-08-13
Парка MurLeMur Базовая коллекция;https://www.ozon.ru/product/1660472985;MurLeMur;Одежда;Парка;Да;1604824;1633;218;6492;7362;118070;93;59035;8;FBO;5;25;23.1;32.1;81184;11017;0.01;7.01;0.1;41.6;2024-08-16
Куртка;https://www.ozon.ru/product/1665102477;без бренда;Одежда;Куртка;Да;1604528;660;361;3023.3;4445;193160;89;64387;14;FBO;4;54.3;30.2;40.8;256802;11445;0.02;9.68;0.3;63.8;2024-08-21
Куртка Shop Of Dom;https://www.ozon.ru/product/1611376131;Shop Of Dom;Одежда;Куртка;Да;1602988;128;440;2553;3643;890211;64;89021;24;FBO;6;19.2;25.4;35.2;175956;16983;0.03;9.22;0;44;2024-06-22
Пуховик LIBERTA;https://www.ozon.ru/product/1650049055;LIBERTA;Одежда;Пуховик;Да;1601789;289;279;1;5741;0;100;56598;10;FBO;4;41.2;26.4;36.2;128112;9311;0.02;8.47;0.2;52.3;2024-08-06
Водолазка;https://www.ozon.ru/product/1649954074;без бренда;Одежда;Водолазка;Да;1599024;293;1380;836.3;1159;0;100;56188;48;FBO;4;2.8;25.3;36.4;291000;39647;0.04;11.56;6;61.8;2024-08-06
Дубленка искусственная 7TOUCH Базовая коллекция;https://www.ozon.ru/product/1620410220;7TOUCH;Одежда;Дубленка искусственная;Да;1597008;152;317;3959.4;5038;0;100;55141;11;FBO;4;26.5;24.8;34.3;96260;12146;0.04;7.83;0.3;24.5;2024-07-04
Пальто LOVINI Осень;https://www.ozon.ru/product/1564073481;LOVINI;Одежда;Пальто;Да;1596061;445;270;4413;5911;0;100;56131;9;FBO;3;16.5;22.7;31.7;207453;27620;0.02;4.77;10.6;38.3;2024-05-02
Комбинезон утепленный CROCKID Для девочек;https://www.ozon.ru/product/1160344925;CROCKID;Одежда;Комбинезон утепленный;Да;1591611;541;297;2364;5359;0;100;56002;10;FBO,FBS;4;9.6;22;30.9;57210;5668;0.12;12.33;0;58.9;2023-08-29
Пуховик LIBERTA;https://www.ozon.ru/product/1667776734;LIBERTA;Одежда;Пуховик;Да;1589012;251;278;3692;5716;0;100;55480;10;FBO;4;38.4;26.1;35.7;144851;9905;0.03;8.69;2.7;48;2024-08-23
Пуховик LIBERTA;https://www.ozon.ru/product/1667776943;LIBERTA;Одежда;Пуховик;Да;1583323;309;267;4086;5930;0;100;56358;9;FBO;4;37.8;25.7;35.3;198557;9961;0.02;8.27;0.3;55.1;2024-08-23
Легинсы Весь мир моды;https://www.ozon.ru/product/1659537119;без бренда;Одежда;Легинсы;Да;1575689;613;1890;555.8;834;0;100;55279;66;FBO;4;2.8;28.1;40.8;266429;22390;0.13;20.35;2.3;79.4;2024-08-15
Костюм спортивный 12Sportwear Из футера с начесом;https://www.ozon.ru/product/1528532750;12Sportwear;Одежда;Костюм спортивный;Да;1570076;66;417;2830.5;3765;0;100;53769;14;FBO;3;20.4;25.2;34.9;166234;10308;0.01;9.97;4.4;55.4;2024-04-05
Куртка Katerina Bleska&Tamara Savin;https://www.ozon.ru/product/1422420313;Katerina Bleska&Tamara Savin;Одежда;Куртка;Да;1569664;43;583;1757.3;2692;315874;82;63175;23;FBO;5;13.2;25.3;35.3;397530;50160;0.01;4.25;12.5;33.5;2024-02-14
Куртка ANDIGA;https://www.ozon.ru/product/1670680241;ANDIGA;Одежда;Куртка;Да;1568111;330;454;1899;3454;182108;89;60703;17;FBO;4;11.3;23.9;33.4;249436;19476;0.04;8.14;0;51;2024-08-26
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132953136;TWOGOAT;Одежда;Костюм спортивный;Да;1567959;83;396;2975.3;3959;116479;93;58240;15;FBO;4;12;23.2;32.5;184152;9770;0;9.72;0;61;2023-08-13
Куртка ANDIGA;https://www.ozon.ru/product/1670680574;ANDIGA;Одежда;Куртка;Да;1558611;443;430;1776;3625;402882;79;67147;18;FBO;4;5.1;22.3;31.5;153956;12139;0.03;10.79;0;52.7;2024-08-26
Шуба искусственная LAWINTER;https://www.ozon.ru/product/1171640251;LAWINTER;Одежда;Шуба искусственная;Да;1553322;378;99;13741;15690;0;100;54384;3;FBO,FBS;5;17.1;17.6;26;40686;3006;0.02;10.71;0.2;53.1;2023-09-04
Пальто LOVINI Осень;https://www.ozon.ru/product/1564067460;LOVINI;Одежда;Пальто;Да;1549167;129;260;4739;5958;0;100;53872;9;FBO;3;16.5;22.7;31.7;40906;11317;0.08;6.2;1.8;42.8;2024-05-02
Пуховик FEROD&NORDE Зима;https://www.ozon.ru/product/1649182985;FEROD&NORDE;Одежда;Пуховик;Да;1547889;334;153;6754;10117;0;100;53997;5;FBO;5;24.5;20.6;29.3;180426;8988;0.01;6.23;1.1;46.3;2024-08-05
Костюм спортивный;https://www.ozon.ru/product/1686561843;без бренда;Одежда;Костюм спортивный;Да;1544272;1442;511;1;3022;0;100;54661;18;FBS;6;1;21.3;30.4;136680;23846;0.02;6.11;10.7;62.6;2024-09-08
Платье GILA;https://www.ozon.ru/product/665796486;GILA;Одежда;Платье;Да;1539811;22;655;1230.8;2351;0;100;52972;22;FBO;4;4.9;23.2;32.8;384561;38357;0.01;5.86;5.3;51.7;2022-08-09
Платье VIDA FASHION;https://www.ozon.ru/product/1201515848;без бренда;Одежда;Платье;Да;1535834;28289;434;2650.2;3539;334902;82;66980;19;FBO;3;1.9;21.4;30.4;458025;42107;0.03;5.81;8.9;41.8;2023-09-21
Брюки утепленные Fart Favorita;https://www.ozon.ru/product/1262223004;Fart Favorita;Одежда;Брюки утепленные;Да;1535251;401;873;1089.8;1759;0;100;54524;31;FBO;3;2.5;23.3;33.3;84046;17374;0.07;14.35;0;46.4;2023-10-27
Пальто LOVINI Осень;https://www.ozon.ru/product/1629814371;LOVINI;Одежда;Пальто;Да;1533828;71;251;2611;6111;0;100;51705;8;FBO;3;16.5;22.6;31.6;145505;15356;0.02;4.87;2.3;48;2024-07-16
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132957581;TWOGOAT;Одежда;Костюм спортивный;Да;1530487;58;384;2942.3;3986;327513;82;65503;16;FBO;4;12;23.2;32.5;103640;7374;0.02;12;0;54.6;2023-08-13
Дубленка искусственная 7TOUCH Базовая коллекция;https://www.ozon.ru/product/1620407760;7TOUCH;Одежда;Дубленка искусственная;Да;1524138;144;277;3993;5502;0;100;53177;10;FBO;4;36.3;25.9;35.5;103786;7298;0.02;11.07;0.5;30.6;2024-07-04
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659237320;MONOMIR;Одежда;Пуховик;Да;1523156;890;131;9129;11627;0;100;54065;5;FBO;5;35;20.6;29.4;48468;6130;0.02;10.52;0.1;48.4;2024-08-15
Платье GILA;https://www.ozon.ru/product/665757750;GILA;Одежда;Платье;Да;1521667;10;650;1238.3;2341;0;100;53124;23;FBO;3;5.3;23.5;33.3;525359;35246;0.02;6.21;2.6;65.2;2022-08-09
Брюки Martin Frobel;https://www.ozon.ru/product/987919731;Martin Frobel;Одежда;Брюки;Да;1518562;-30;1079;695.3;1407;0;100;52058;37;FBO;4;1.5;24.1;34.8;367663;29112;0.05;9.53;6;29.4;2023-05-18
Куртка PLMND;https://www.ozon.ru/product/1641735158;PLMND;Одежда;Куртка;Да;1517996;158;224;4551;6777;0;100;53089;8;FBO;4;18;22.5;31.3;107821;7274;0.01;9.36;6.9;42.9;2024-07-29
Куртка ANDIGA;https://www.ozon.ru/product/1670680576;ANDIGA;Одежда;Куртка;Да;1516828;349;413;1776;3673;486723;75;69532;19;FBO;4;8.8;22.9;32.2;172253;13262;0.02;9.23;0;51.5;2024-08-26
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659335134;MONOMIR;Одежда;Пуховик;Да;1514848;853;135;9080.8;11221;0;100;53375;5;FBO;5;35;20.9;29.7;141353;11762;0.02;5.42;1.7;52.4;2024-08-15
Костюм спортивный 12Sportwear Из футера с начесом;https://www.ozon.ru/product/1467654685;12Sportwear;Одежда;Костюм спортивный;Да;1513786;40;390;2882;3882;0;100;52672;14;FBO;4;12;23.3;32.6;143013;8803;0.01;9.96;2.6;57;2024-03-12
Легинсы Алия Женские секреты;https://www.ozon.ru/product/1692907363;Алия;Одежда;Легинсы;Нет;1505896;6354;2832;1;532;0;100;54282;101;FBO;3;1.3;29.8;46.2;832447;44728;0.04;16.22;17.2;83.3;2024-09-13
